tc(D=1,400km)=5Gyr
radius, mtot
1.0000e-01 , 1.0000e-06
1.0000e-01 , 1.1768e-06
1.0000e-01 , 1.3849e-06
1.0000e-01 , 1.6298e-06
1.0000e-01 , 1.9179e-06
1.0000e-01 , 2.2570e-06
1.0000e-01 , 2.6561e-06
1.0000e-01 , 3.1257e-06
1.0000e-01 , 3.6784e-06
1.0000e-01 , 4.3288e-06
1.0000e-01 , 5.0941e-06
1.0000e-01 , 5.9948e-06
1.0000e-01 , 7.0548e-06
1.0000e-01 , 8.3022e-06
1.0000e-01 , 9.7701e-06
1.0000e-01 , 1.1498e-05
1.0000e-01 , 1.3530e-05
1.0000e-01 , 1.5923e-05
1.0139e-01 , 1.8738e-05
1.0642e-01 , 2.2051e-05
1.1170e-01 , 2.5950e-05
1.1724e-01 , 3.0539e-05
1.2305e-01 , 3.5938e-05
1.2915e-01 , 4.2292e-05
1.3556e-01 , 4.9770e-05
1.4228e-01 , 5.8570e-05
1.4934e-01 , 6.8926e-05
1.5783e-01 , 8.1113e-05
1.6566e-01 , 9.5455e-05
1.7388e-01 , 1.1233e-04
1.8250e-01 , 1.3219e-04
1.9155e-01 , 1.5557e-04
2.0105e-01 , 1.8307e-04
2.1102e-01 , 2.1544e-04
2.2149e-01 , 2.5354e-04
2.3247e-01 , 2.9836e-04
2.4400e-01 , 3.5112e-04
2.5610e-01 , 4.1320e-04
2.6880e-01 , 4.8626e-04
2.8213e-01 , 5.7224e-04
2.9612e-01 , 6.7342e-04
3.1081e-01 , 7.9248e-04
3.2849e-01 , 9.3260e-04
3.4478e-01 , 1.0975e-03
3.6187e-01 , 1.2915e-03
3.7982e-01 , 1.5199e-03
3.9866e-01 , 1.7886e-03
4.1843e-01 , 2.1049e-03
4.3918e-01 , 2.4771e-03
4.6096e-01 , 2.9151e-03
4.8382e-01 , 3.4305e-03
5.0782e-01 , 4.0370e-03
5.3300e-01 , 4.7508e-03
5.5943e-01 , 5.5908e-03
5.8718e-01 , 6.5793e-03
6.1630e-01 , 7.7426e-03
6.4686e-01 , 9.1116e-03
6.7894e-01 , 1.0723e-02
7.1756e-01 , 1.2619e-02
7.5314e-01 , 1.4850e-02
7.9049e-01 , 1.7475e-02
8.2970e-01 , 2.0565e-02
8.7084e-01 , 2.4201e-02
9.1403e-01 , 2.8480e-02
9.5936e-01 , 3.3516e-02
1.0069e+00 , 3.9442e-02
1.0569e+00 , 4.6416e-02
1.1093e+00 , 5.4623e-02
1.1643e+00 , 6.4281e-02
1.2220e+00 , 7.5646e-02
1.2826e+00 , 8.9022e-02
1.3463e+00 , 1.0476e-01
1.4130e+00 , 1.2328e-01
1.4831e+00 , 1.4508e-01
1.5675e+00 , 1.7074e-01
1.6452e+00 , 2.0092e-01
1.7268e+00 , 2.3645e-01
1.8124e+00 , 2.7826e-01
1.9023e+00 , 3.2745e-01
1.9966e+00 , 3.8535e-01
2.0957e+00 , 4.5349e-01
2.1996e+00 , 5.3367e-01
2.3087e+00 , 6.2803e-01
2.4232e+00 , 7.3907e-01
2.5433e+00 , 8.6975e-01
2.6695e+00 , 1.0235e+00
2.8019e+00 , 1.2045e+00
2.9408e+00 , 1.4175e+00
3.0867e+00 , 1.6681e+00
3.2622e+00 , 1.9630e+00
3.4240e+00 , 2.3101e+00
3.5938e+00 , 2.7186e+00
3.7720e+00 , 3.1993e+00
3.9591e+00 , 3.7649e+00
4.1555e+00 , 4.4306e+00
4.3615e+00 , 5.2140e+00
4.5778e+00 , 6.1359e+00
4.8049e+00 , 7.2208e+00
5.0432e+00 , 8.4975e+00
5.2933e+00 , 1.0000e+01
